Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Exemptions,Exemptions start date,Mandatory Reliefs,Mandatory Relief Start Date,Pub Relief,Additional Relief,Revaluation Relief,Supporting Small Business Relief
9008448,Toban Engineering Uk Ltd,"Gnd Flr Centre , Unit 2, Victoria Industrial Estate, Victoria Road, Bradford, BD2 2DD",BD2 2DD,53.81908,-1.72179,2015-06-23,10250,CW,,2015-06-23,Y,,,Small Business Rate Relief,2017-04-01,,,,
9008449,Companion Stairlifts Limited,"First Floor, Unit 2, Victoria Industrial Estate, Victoria Road, Bradford, BD2 2DD",BD2 2DD,53.81908,-1.72179,2015-06-23,2550,CO,,2015-06-23,Y,,,Small Business Rate Relief,2015-06-23,,,,
9008452,Wharfe Valley Place Ltd,"Wharfe Valley Place, Coutances Park, Coutances Way, Burley In Wharfedale, Ilkley, LS29 7HQ",LS29 7HQ,53.92068,-1.77503,2013-07-01,16750,CW1,,2016-03-17,Y,,,,,,,Yes,
9008453,Carbon Emission Reduction Team Limited,"Part 3rd Flr, West Riding House, Cheapside, Bradford, BD1 4HP",BD1 4HP,53.79604,-1.75315,2015-09-01,7300,CO,,2015-09-02,Y,,,Small Business Rate Relief,2015-09-02,,,,
9008454,,"Vacant Part 3rd Flr, West Riding House, Cheapside, Bradford, BD1 4HP",BD1 4HP,53.79604,-1.75315,2015-09-01,5900,CO,,2015-09-01,,,,,,,,,
9008455,Royal Mencap Society,"Unit 1a, 51, Ingleby Road, Bradford, BD8 9AP",BD8 9AP,53.79743,-1.78398,2015-04-12,14500,CS,,2017-02-10,Y,,,Mandatory Relief,2017-02-10,,,,
9008456,Explore Learning Ltd,"Unit 1b, 51, Ingleby Road, Bradford, BD8 9AP",BD8 9AP,53.79743,-1.78398,2015-04-12,22250,CS,,2015-04-12,Y,,,,,,,,
9008457,Laywell Beds Ltd,"Pt Grd Flr, Raja Mills , Cordingley Street, Bradford, BD4 0PP",BD4 0PP,53.76863,-1.70970,2015-04-01,2350,CW,,2018-04-10,Y,,,Small Business Rate Relief,2018-04-10,,,,
9008458,,"Bst Floor, Raja Mills, Cordingley Street, Bradford, BD4 0PP",BD4 0PP,53.76863,-1.70970,2015-04-01,4600,CW,,2015-04-01,Y,,,,,,,,
9008459,Top Gift Ltd,"Top Gift Mobile, Kiosk, Darley Mall, Kirkgate Centre, Bradford, BD1 1QP",BD1 1QP,53.79513,-1.75478,2015-04-01,6900,CS4,,2015-04-01,Y,,,,,,,,
9008461,Hig Luxembourg Holdings 79 Sarl,"Candy Cart, Westgate Mall, Kirkgate Centre, Bradford, BD1 1QR",BD1 1QR,53.79479,-1.75556,2015-04-01,4350,CS4,,2015-04-01,Y,,,,,,,,
9008464,,"Stall Adj, 2, Godwin Mall, Kirkgate Centre, Bradford, BD1 1QU",BD1 1QU,53.79504,-1.75536,2015-04-01,15750,CS4,,2015-04-01,Y,,,,,,,,Yes
9008465,Sky Uk Limited,"Sky Kiosk Adj, 5, Godwin Mall, Kirkgate Centre, Bradford, BD1 1QU",BD1 1QU,53.79504,-1.75536,2015-04-01,9800,CS4,,2018-01-01,Y,,,,,,,,
9008466,Hig Luxembourg Holdings 79 Sarl,"Kiosk Opp, 7, Central Square, Kirkgate Centre, Bradford, BD1 1QY",BD1 1QY,53.79484,-1.75507,2015-04-01,2450,CS4,,2015-04-01,,Rateable Value,2015-12-28,,,,,,
9008467,Hig Luxembourg Holdings 79 Sarl,"Crazy Sweet Kiosk, Opposite, 6, Central Square, Kirkgate Centre, Bradford, BD1 1QY",BD1 1QY,53.79484,-1.75507,2015-04-01,13250,CS4,,2016-04-01,,,,,,,,,
9008468,,"Crazy Corn Kiosk, Opposite, 5, Central Square, Kirkgate Centre, Bradford, BD1 1QY",BD1 1QY,53.79484,-1.75507,2015-04-01,3550,CS4,,2015-04-01,Y,,,Small Business Rate Relief,2015-04-01,,,,
9008469,,"Kiosk Opp, 5, Central Square, Kirkgate Centre, Bradford, BD1 1QY",BD1 1QY,53.79484,-1.75507,2015-04-01,17750,CS4,,2015-04-01,Y,,,,,,,Yes,
9008470,,"Brow Art, Opposite, 5, Central Square, Kirkgate Centre, Bradford, BD1 1QY",BD1 1QY,53.79484,-1.75507,2015-04-01,11750,CS4,,2015-04-01,Y,,,Small Business Rate Relief,2015-04-01,,,,
9008473,Horton Green Day Nursery Limited,"64, Little Horton Lane, Bradford, BD5 0HU",BD5 0HU,53.78756,-1.75941,2015-09-01,12500,EN1,,2016-11-04,Y,,,Small Business Rate Relief,2016-11-04,,,,
9008474,Barratt Leeds Limited,"2,3 & 4, Beck Heights, , Cullingworth , Bradford, BD13 5FE",BD13 5FE,53.82089,-1.90190,2015-12-01,48500,CX,SHOWHOUSES & PREMISES,2015-12-01,Y,,,,,,,,
9008475,Gog Style Limited,"Gf1 New Mill House, Legrams Mill, 29, Summerville Road, Bradford, BD7 1NS",BD7 1NS,53.79174,-1.77353,2015-09-01,6100,IF3,,2015-09-01,Y,,,Small Business Rate Relief,2015-09-01,,,,
9008476,3d Design Furniture Ltd,"Gf2 New Mill House, Legrams Mill, 29, Summerville Road, Bradford, BD7 1NS",BD7 1NS,53.79174,-1.77353,2015-09-01,7100,IF3,,2015-09-01,Y,,,Small Business Rate Relief,2015-09-01,,,,
9008477,Islamic Tarbiyah Centre,"1, Ambler Street, Bradford, BD8 8AW",BD8 8AW,53.80641,-1.77043,2015-03-19,19500,CO,,2015-03-19,Y,,,,,,,,
9008478,,"21, Church Street, Bradford, BD8 7NP",BD8 7NP,53.80668,-1.77001,2015-03-19,6600,IF3,,2016-04-01,Y,,,Small Business Rate Relief,2016-04-01,,,,
9008479,Azeem Accountants Ltd,"558-564, Manchester Road, Bradford, BD5 7LR",BD5 7LR,53.78080,-1.75999,2015-03-25,10250,CO,,2018-01-22,Y,,,,,,,,
9008480,Hallidays Yorkshire Property Ltd,"Shop At, 84, Stone Hall Road, Bradford, BD2 2ES",BD2 2ES,53.82005,-1.72746,2015-11-01,1225,CS,,2017-07-18,Y,,,Small Business Rate Relief,2017-07-18,,,,
9008481,H20 Auto Tint And Valet Ltd,"Car Wash Rhs, On Site Of Ex Ivy Mill, Mill Lane, Bradford, BD5 0HF",BD5 0HF,53.78589,-1.74943,2015-10-14,10250,CX,CAR WASH & PREMISES,2017-05-18,Y,,,Small Business Rate Relief,2017-05-18,,,,
9008483,The Sizzling Grill Ltd,"Southgate House, 74, Thornton Road, Bradford, BD1 2DG",BD1 2DG,53.79318,-1.75845,2015-08-01,6300,CS,RESTAURANT & PREMISES,2015-08-01,Y,,,Small Business Rate Relief,2015-08-01,,,,
9008486,Local Learning Zone Ltd,"Offices 1,2,3, 2nd Floor, Over , 72-76, Thornton Road, Bradford, BD1 2DG",BD1 2DG,53.79318,-1.75845,2015-08-01,7400,CO,,2015-08-01,Y,,,Small Business Rate Relief,2015-08-01,,,,
9008487,Uk Learning Academy Limited,"Office 4, 2nd Floor Over, 72-76, Thornton Road, Bradford, BD1 2DG",BD1 2DG,53.79318,-1.75845,2015-07-01,860,CO,,2015-07-01,Y,,,Small Business Rate Relief,2015-07-01,,,,
9008488,,"Office 5, 2nd Floor Over, 72-76, Thornton Road, Bradford, BD1 2DG",BD1 2DG,53.79318,-1.75845,2015-11-06,940,CO,,2016-01-10,Y,,,Small Business Rate Relief,2016-01-10,,,,
9008489,123 Software Ltd,"Office 6, 2nd Floor Over, 72-76, Thornton Road, Bradford, BD1 2DG",BD1 2DG,53.79318,-1.75845,2015-07-01,940,CO,,2015-07-01,Y,,,Small Business Rate Relief,2015-07-01,,,,
9008490,,"Office 7, 2nd Floor Over, 72-76, Thornton Road, Bradford, BD1 2DG",BD1 2DG,53.79318,-1.75845,2015-11-06,690,CO,,2016-02-01,Y,,,Small Business Rate Relief,2016-02-01,,,,
9008492,M P Burke (Developments) Limited,"Suite 1, 1st Flr, 2, Bradley Street, Bingley, BD16 4DU",BD16 4DU,53.85060,-1.83625,2015-04-01,3350,CO,OFFICE AND PREMISES,2015-04-01,Y,,,,,,,,
9008493,M P Burke (Developments) Limited,"Suite 2, 1st Flr, 2, Bradley Street, Bingley, BD16 4DU",BD16 4DU,53.85060,-1.83625,2015-04-01,1900,CO,OFFICE AND PREMISES,2015-04-01,Y,,,,,,,,
9008494,,"39 41 & 45, North Street, Keighley, BD21 3SL",BD21 3SL,53.86618,-1.90991,2015-10-03,7200,CS,CAFE & PREMISES,2015-10-03,,Listed Building,2017-03-01,,,,,,
9008495,,"1st Floor Units 11 & 12, Parkside Works, Parkwood Street, Keighley, BD21 4PJ",BD21 4PJ,53.86607,-1.89503,2015-10-01,9500,CW,,2015-10-01,Y,,,Small Business Rate Relief,2015-10-01,,,,
9008496,Trick Shot Limited,"Gf Units 11 12 & 13 & 1st Flr Unit 13, Parkside Works, Parkwood Street, Keighley, BD21 4PJ",BD21 4PJ,53.86607,-1.89503,2015-10-01,26750,CW,,2017-04-01,Y,,,,,,,,
9008497,Claim Professional Ltd,"Office 1.6 1st Floor, Centre For Enterprise, 114-116, Manningham Lane, Bradford, BD8 7JW",BD8 7JW,53.80200,-1.76034,2015-06-23,6400,CO,,2015-06-23,Y,,,Small Business Rate Relief,2015-06-23,,,,
9008498,,"Unit 2 At Willowfield Hotel, 92, Legrams Lane, Bradford, BD7 2AD",BD7 2AD,53.79151,-1.77951,2015-08-01,7200,CX,HAND CAR WASH & PREMISES,2017-04-01,Y,,,Small Business Rate Relief,2017-04-01,,,,
9008499,,"Unit 3 At Willowfield Hotel, 92, Legrams Lane, Bradford, BD7 2AD",BD7 2AD,53.79151,-1.77951,2015-08-01,3400,IF3,,2015-09-01,Y,,,Small Business Rate Relief,2015-09-01,,,,
9008500,Bradford MDC,"Basement & Part Ground Floor , Margaret Mcmillan Tower, Princes Way, Bradford, BD1 1NN",BD1 1NN,53.79048,-1.75513,2013-12-09,32500,EM,,2017-04-01,Y,,,,,,,,
9008501,Bradford MDC,"Part Gnd Flr And 1st To 8th Floors, Margaret Mcmillan Tower, Princes Way, Bradford, BD1 1NN",BD1 1NN,53.79048,-1.75513,2013-12-09,392500,ML,,2013-12-09,Y,,,,,,,,
9008502,,"Moorside Farm , Lane Side, Wilsden, Bradford, BD15 0LZ",BD15 0LZ,53.81744,-1.86421,2016-02-01,3250,LX,LIVERY STABLES & PREMISES,2016-02-01,Y,,,Small Business Rate Relief,2016-02-01,,,,
9008503,Horton Housing Association,"Flat 8, Thomas Duggan House, Well Croft, Shipley, BD18 3QH",BD18 3QH,53.83284,-1.77881,2015-11-06,2000,CO,,2015-11-06,Y,,,Mandatory Relief,2015-11-06,,,,
9008508,,"Storage Container 3 Rear Of , New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,830,CW3,STORAGE CONTAINER AND PREMISES,2015-04-03,Y,,,Small Business Rate Relief,2015-04-03,,,,
9008509,Chestnut House Healthcare Limited,"Storage Container 4 Rear Of , New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,830,CW3,STORAGE CONTAINER AND PREMISES,2015-04-06,Y,,,Small Business Rate Relief,2015-04-06,,,,
9008513,Pinetree Healthcare Limited,"Storage Container 8 Rear Of , New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,830,CW3,STORAGE CONTAINER AND PREMISES,2015-04-04,Y,,,Small Business Rate Relief,2015-05-05,,,,
9008514,Oaktree Healthcare Limited,"Storage Container 9 Rear Of , New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,830,CW3,STORAGE CONTAINER AND PREMISES,2015-04-15,Y,,,Small Business Rate Relief,2015-04-15,,,,
9008515,,"Storage Container 10 Rear Of, New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,830,CW3,STORAGE CONTAINER AND PREMISES,2015-04-20,Y,,,Small Business Rate Relief,2015-04-20,,,,
9008520,,"Storage Container 15 Rear Of, New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,1675,CW3,STORAGE CONTAINER AND PREMISES,2015-05-10,Y,,,Small Business Rate Relief,2015-05-10,,,,
9008524,,"Storage Container 19 Rear Of, New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,1675,CW3,STORAGE CONTAINER AND PREMISES,2015-05-17,Y,,,Small Business Rate Relief,2015-05-17,,,,
9008525,,"Storage Containers 20 & 21 Rear Of , New Mill, Legrams Mill, Legrams Lane, Bradford, BD7 1NH",BD7 1NH,53.79192,-1.77444,2014-04-24,3100,CW3,STORAGE CONTAINER AND PREMISES,2014-04-24,Y,,,Small Business Rate Relief,2014-04-24,,,,
9008526,Bedding & Linen Ltd,"32, Hammerton Street, Bradford, BD3 9QQ",BD3 9QQ,53.79222,-1.74212,2015-03-04,11500,CW,,2015-03-04,Y,,,Small Business Rate Relief,2015-03-04,,,,
9008527,Pets At Home Ltd,"38, The Grove, Ilkley, LS29 9EE",LS29 9EE,53.92474,-1.82558,2015-06-30,43250,CS,,2015-06-30,Y,,,,,,,Yes,
9008529,,"Unit X, Blackshaw Mills, Halifax Road, Bradford, BD6 2HL",BD6 2HL,53.75759,-1.80100,2015-11-09,4900,IF3,,2015-11-09,Y,,,Small Business Rate Relief,2015-11-09,,,,
9008530,,"Unit 13, 935, Leeds Road, Bradford, BD3 8JB",BD3 8JB,53.79763,-1.71193,2015-11-19,4350,CW,,2015-11-19,Y,,,Small Business Rate Relief,2015-11-19,,,,
9008531,Whetley Mills (Properties) Limited,"Unit 9 Whetley Mills, 370, Thornton Road, Bradford, BD8 8LQ",BD8 8LQ,53.79898,-1.77881,2015-11-01,1250,CO,,2015-11-01,,Listed Building,2015-11-01,,,,,,
9008532,Incredible Bulk Self Storage Ltd,"Unit 9a, Whetley Mills, 370, Thornton Road, Bradford, BD8 8LQ",BD8 8LQ,53.79898,-1.77881,2015-11-01,25500,CW3,SELF STORAGE AND PREMISES,2015-11-01,Y,,,,,,,,
9008533,Nmn Ltd,"1236-1238, Leeds Road, Bradford, BD3 8LG",BD3 8LG,53.79391,-1.71620,2015-10-05,12750,CS,SAFETY DEPOSIT BANK & PREMISES,2016-01-13,Y,,,Small Business Rate Relief,2016-01-13,,,,
9008534,,"1st & 2nd Floors, 1236-1238, Leeds Road, Bradford, BD3 8LG",BD3 8LG,53.79391,-1.71620,2015-10-05,10250,CO,,2017-06-01,Y,,,Small Business Rate Relief,2017-06-01,,,,
9008535,Airevalley Railway Modellers Club,"Unit T1, Melbourne Mills, Chesham Street, Keighley, BD21 4LG",BD21 4LG,53.87039,-1.89502,2015-08-01,3200,IF3,,2015-12-01,Y,,,Small Business Rate Relief,2015-12-01,,,,
9008536,,"Unit T2, Melbourne Mills, Chesham Street, Keighley, BD21 4LG",BD21 4LG,53.87039,-1.89502,2015-08-01,1625,IF3,,2015-11-01,Y,,,,,,,,
9008537,Margaret Carey Foundation,"9, Filey Street, Bradford, BD1 5LN",BD1 5LN,53.79187,-1.74197,2015-07-20,12500,CW,,2015-07-20,Y,,,Mandatory Relief,2015-07-20,,,,
9008539,,"387b, Little Horton Lane, Little Horton, Bradford, BD5 0LG",BD5 0LG,53.78116,-1.76506,2015-11-01,5400,CS,,2017-01-24,Y,,,Small Business Rate Relief,2017-01-24,,,,
9008540,,"Office 1, Ground Floor , 6-8, Hallfield Road, Bradford, BD1 3RQ",BD1 3RQ,53.79844,-1.76055,2015-10-28,1700,CO,,2018-10-01,Y,,,Small Business Rate Relief,2018-10-01,,,,
9008541,Dreams Of A 36 Jewellers Limited,"Office 2, Ground Floor, 6-8, Hallfield Road, Bradford, BD1 3RQ",BD1 3RQ,53.79844,-1.76055,2015-10-28,1525,CO,,2018-02-01,Y,,,Small Business Rate Relief,2018-02-01,,,,
9008542,,"Office 3, Ground Floor, 6-8, Hallfield Road, Bradford, BD1 3RQ",BD1 3RQ,53.79844,-1.76055,2015-10-28,2700,CO,,2018-07-23,Y,,,Small Business Rate Relief,2018-07-23,,,,
9008543,,"Office 4, Ground Floor, 6-8, Hallfield Road, Bradford, BD1 3RQ",BD1 3RQ,53.79844,-1.76055,2015-10-28,710,CO,,2018-06-11,Y,,,Small Business Rate Relief,2018-06-11,,,,
9008544,,"Office 5, Ground Floor, 6-8, Hallfield Road, Bradford, BD1 3RQ",BD1 3RQ,53.79844,-1.76055,2015-10-28,760,CO,,2016-05-02,Y,,,Small Business Rate Relief,2016-05-02,,,,
9008545,,"Office 6, Ground Floor , 6-8, Hallfield Road, Bradford, BD1 3RQ",BD1 3RQ,53.79844,-1.76055,2015-10-28,1475,CO,,2016-12-07,Y,,,Small Business Rate Relief,2016-12-07,,,,
9008546,,"Office 7, Ground Floor, 6-8, Hallfield Road, Bradford, BD1 3RQ",BD1 3RQ,53.79844,-1.76055,2015-10-28,1600,CO,,2018-10-01,Y,,,,,,,,
9008552,Rosindales Limited,"Hope Iron Works, Dick Lane, Bradford, BD4 8JD",BD4 8JD,53.78787,-1.71211,2014-09-26,69500,IF,,2014-09-26,Y,,,,,,,Yes,
9008554,Bowling Hydrophonics Ltd,"Bowling Hotel Complex, 2a, Maw Street, Bradford, BD4 7DW",BD4 7DW,53.78542,-1.74449,2015-06-01,8300,CS,,2016-08-12,Y,,,Small Business Rate Relief,2016-08-12,,,,
9008555,,"Yard Near , 824, Great Horton Road, Bradford, BD7 4PU",BD7 4PU,53.77721,-1.79177,2015-03-01,1625,CW1,,2015-03-01,Y,,,Small Business Rate Relief,2015-11-02,,,,
9008556,West Yorkshire Glazing (Uk) Limited,"Unit 8b, Sapper Jordan Rossi Park, Baildon, Shipley, BD17 7AX",BD17 7AX,53.84838,-1.74856,2015-11-30,27250,CW,,2015-11-30,Y,,,,,,,,
9008557,Msz (Bradford) Limited,"Ground Floor, 2, Hey Street, Bradford, BD7 1DQ",BD7 1DQ,53.79392,-1.76542,2015-03-01,8100,CWW,,2016-04-01,Y,,,Small Business Rate Relief,2016-04-01,,,,
9008558,,"1st Floor, 2, Hey Street, Bradford, BD7 1DQ",BD7 1DQ,53.79392,-1.76542,2015-03-01,5200,CWW,,2015-03-01,Y,,,Small Business Rate Relief,2015-07-01,,,,
9008559,The Electricity Network Company Limited,"Independent Distribution Network Operator, Black Dyke Mills, Brighouse Road, Queensbury, BD13 1QA",BD13 1QA,53.76803,-1.84337,2015-04-01,530,NX,,2015-04-01,Y,,,,,,,,
9008560,The Electricity Network Company Limited,"Independent Distribution Network Operator, Dukes Avenue, Bradford, BD6 1AY",BD6 1AY,53.76607,-1.75430,2015-04-01,660,NX,,2015-04-01,Y,,,,,,,,
9008561,The Electricity Network Company Limited,"Independent Distribution Network Operator, Crack Lane, Wilsden, Bradford, BD15 0AZ",BD15 0AZ,53.82254,-1.85698,2015-04-01,495,NX,,2015-04-01,Y,,,,,,,,
9008562,,"Bridge House, Keighley Road, Silsden, BD20 0EA",BD20 0EA,53.91092,-1.93815,2015-05-04,3850,IF3,,2015-05-04,Y,,,Small Business Rate Relief,2015-05-04,,,,
9008563,,"Gym At, 74, Keighley Road, Silsden, BD20 0EA",BD20 0EA,53.91092,-1.93815,2015-05-04,4150,IF3,GYM AND PREMISES,2016-04-18,Y,,,Small Business Rate Relief,2016-04-18,,,,
9008564,,"Unit 2d, Melbourne Mills, Chesham Street, Keighley, BD21 4LG",BD21 4LG,53.87039,-1.89502,2015-07-10,2500,IF3,,2015-07-10,Y,,,Small Business Rate Relief,2018-04-01,,,,
9008565,,"Unit G7, Melbourne Mills, Chesham Street, Keighley, BD21 4LG",BD21 4LG,53.87039,-1.89502,2015-07-10,1225,IF3,,2015-07-10,,Rateable Value,2015-07-10,,,,,,
9008567,,"Unit F2, Melbourne Mills, Chesham Street, Keighley, BD21 4LG",BD21 4LG,53.87039,-1.89502,2015-07-10,4350,IF3,,2016-09-22,Y,,,Small Business Rate Relief,2016-09-22,,,,
9008568,,"Unit F3, Melbourne Mills, Chesham Street, Keighley, BD21 4LG",BD21 4LG,53.87039,-1.89502,2015-07-10,1425,IF3,,2015-07-10,,Rateable Value,2015-07-10,,,,,,
9008570,Manningham Concrete Limited,"Units 1, 1a & 2 At, 320, Allerton Road, Bradford, BD15 7QE",BD15 7QE,53.80443,-1.82043,2015-05-01,9400,CW,,2015-05-01,Y,,,,,,,Yes,
9008571,Bradford Hydrographics Ltd,"Gf1 At Unit 13, Iron Works Park, Bowling Back Lane, Bradford, BD4 8SX",BD4 8SX,53.78624,-1.72839,2015-11-24,9000,IF3,,2016-01-01,Y,,,Small Business Rate Relief,2016-01-01,,,,
9008572,Cargo Bradford Limited,"Gf2 At Unit 13, Iron Works Park, Bowling Back Lane, Bradford, BD4 8SX",BD4 8SX,53.78624,-1.72839,2015-11-24,5500,IF3,,2016-01-01,Y,,,Small Business Rate Relief,2016-01-01,,,,
9008573,Adam & Baka Ltd In Administration,"Gf3 At Unit 13, Iron Works Park, Bowling Back Lane, Bradford, BD4 8SX",BD4 8SX,53.78624,-1.72839,2015-11-24,4250,IF3,,2015-11-24,,,,,,,,,
9008575,Ashcroft Pharmacy,"1st Floor, 28a, Barry Street, Bradford, BD1 2AW",BD1 2AW,53.79457,-1.75784,2015-03-01,3000,CO,PHARMACY & PREMISES,2015-03-01,Y,,,Small Business Rate Relief,2015-03-01,,,,
9008577,Yeme Limited,"Office Front Ground Floor, 144, Sunbridge Road, Bradford, BD1 2HA",BD1 2HA,53.79552,-1.76237,2015-05-15,7300,CO,,2015-05-15,Y,,,Small Business Rate Relief,2015-05-15,,,,
9008578,Digital Automotive Solutions Ltd T/A Thecarbuyinggroup,"Office Rear Ground Floor, 144, Sunbridge Road, Bradford, BD1 2HA",BD1 2HA,53.79552,-1.76237,2015-05-15,2500,CO,,2015-05-15,Y,,,Small Business Rate Relief,2015-05-15,,,,
9008580,Berries Bagels & Shakes 2 Ltd,"131b, Great Horton Road, Bradford, BD7 1QG",BD7 1QG,53.78815,-1.76988,2015-11-26,10250,CS,,2015-11-26,Y,,,,,,,,
9008581,,"131c, Great Horton Road, Bradford, BD7 1QG",BD7 1QG,53.78815,-1.76988,2015-11-26,10500,CS,,2018-03-01,Y,,,Small Business Rate Relief,2018-03-01,,,,
9008582,,"Peter James Van Sales, Hollins Hill, Baildon, Shipley, BD17 7QN",BD17 7QN,53.85545,-1.74049,2015-04-01,13250,CX,LAND USED FOR VEHICLE SALES AND PREMISES,2015-04-01,Y,,,Small Business Rate Relief,2017-04-01,,,,
9008584,,"15, Leeds Road, Ilkley, LS29 8DH",LS29 8DH,53.92628,-1.82271,2015-07-01,7000,CS,,2016-07-01,Y,,,Small Business Rate Relief,2016-07-01,,,,
9008585,Co-Operative Group Limited,"Atm Site At, 105, Wrose Road, Shipley, BD18 1HX",BD18 1HX,53.82899,-1.75592,2015-04-02,8300,CX,SITE OF ATM AND PREMISES,2015-04-02,Y,,,,,,,,
9008586,Holmfirth Properties Limited,"1st Floor, 49-55, North Parade, Bradford, BD1 3JH",BD1 3JH,53.79754,-1.75706,2010-04-01,0,CW3,,2010-04-01,,,,,,,,,
9008587,Purple Girder Limited,"Unit 1, The Pattern Shed, Riverside, Keighley, BD21 4JP",BD21 4JP,53.86901,-1.89304,2015-04-01,8100,IF3,,2015-04-23,Y,,,Small Business Rate Relief,2016-04-01,,,,
9008588,Knight Engineers Ltd,"Unit 2, The Pattern Shed, Riverside, Keighley, BD21 4JP",BD21 4JP,53.86901,-1.89304,2015-04-01,4450,IF3,,2016-02-03,Y,,,Small Business Rate Relief,2016-02-03,,,,
9008589,Dd Diesel Services Limited,"Unit 3, The Pattern Shed, Riverside, Keighley, BD21 4JP",BD21 4JP,53.86901,-1.89304,2015-04-01,7600,IF3,,2015-04-01,Y,,,Small Business Rate Relief,2015-04-01,,,,
9008590,Jana Jackson Ltd,"Unit 4, The Pattern Shed, Riverside, Keighley, BD21 4JP",BD21 4JP,53.86901,-1.89304,2015-04-01,6900,IF3,,2015-04-01,Y,,,Small Business Rate Relief,2015-04-01,,,,
9008591,The Beat-Herder Limited,"Unit 5, The Pattern Shed, Riverside, Keighley, BD21 4JP",BD21 4JP,53.86901,-1.89304,2015-04-01,12750,IF3,,2015-04-01,Y,,,Small Business Rate Relief,2017-04-01,,,,
9008592,Bradford MDC,"Unit 79 The Oastler Shopping Centre, John Street, Bradford, BD1 3SR",BD1 3SR,53.79632,-1.75778,2015-07-13,1475,CS,MARKET STALL & PREMISES,2015-07-13,,Rateable Value,2017-10-06,,,,,,
9008593,,"Unit 83-84 The Oastler Shopping Centre , John Street, Bradford, BD1 3SR",BD1 3SR,53.79632,-1.75778,2015-07-13,2900,CS,MARKET STALL & PREMISES,2015-07-13,Y,,,Small Business Rate Relief,2015-07-13,,,,
9008594,Valley View Stables Ltd,"Valley View Stables, Heights Lane, Eldwick, Bingley, BD16 3AH",BD16 3AH,53.86231,-1.82322,2015-12-10,5100,LX,STABLES AND PREMISES,2015-12-10,Y,,,Small Business Rate Relief,2015-12-10,,,,
9008595,Patisserie Valerie Holdings Limited,"1, Charles Street, Bradford, BD1 1EH",BD1 1EH,53.79443,-1.75146,2015-11-05,133000,CS,,2015-11-05,Y,,,,,,,,
9008596,Bradford Broadway Limited,"Pop Up Shop , 21, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,77000,CS,,2015-11-05,Y,,,,,,,,
9008597,Deichmann-Shoes Uk Limited,"21b, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,96000,CS,,2015-11-05,Y,,,,,,,,
9008598,Menkind Seasonal Limited,"22, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,81500,CS,,2015-11-05,Y,,,,,,,,
9008599,Bradford Broadway Limited,"23, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,84000,CS,,2015-11-05,,,,,,,,,
9008600,Thomas Cook Tour Operations Limited,"24, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,85000,CS,,2017-07-01,Y,,,,,,,,
9008601,Boots Pure Drug Company Limited,"25, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,352500,CS,,2015-11-05,Y,,,,,,,,
9008602,The Entertainer (Amersham) Ltd,"26, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,113000,CS,,2015-11-05,Y,,,,,,,,
9008603,Sportswift Limited,"27, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,89000,CS,,2015-11-05,Y,,,,,,,,
9008604,Holland & Barrett Retail Limited,"28, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,88000,CS,,2015-11-05,Y,,,,,,,,
9008605,Tui Uk Limited,"29, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,80500,CS,,2015-11-05,Y,,,,,,,,
9008606,Claire'S Accessories Uk Ltd,"30, Charles Street Mall, The Broadway, Bradford, BD1 1US",BD1 1US,53.79426,-1.74979,2015-11-05,72500,CS,,2015-11-05,Y,,,,,,,,
